code	name	population
04059	Lubrín	1449
04060	Lucainena de las Torres	564
04061	Lúcar	760
04062	Macael	5480
04063	María	1230
04064	Mojácar	6778
04065	Nacimiento	496
04066	Níjar	31666
04067	Ohanes	558
04068	Olula de Castro	191
04069	Olula del Río	6256
04070	Oria	2239
04071	Padules	414
04072	Partaloa	1035
04073	Paterna del Río	365
04074	Pechina	4103
04075	Pulpí	10358
04076	Purchena	1664
04077	Rágol	303
04078	Rioja	1453
04079	Roquetas de Mar	98433
04080	Santa Cruz de Marchena	199
04081	Santa Fe de Mondújar	461
04082	Senés	289
04083	Serón	2033
04084	Sierro	379
04085	Somontín	443
04086	Sorbas	2436
04087	Suflí	196
04088	Tabernas	3717
04089	Taberno	974
04090	Tahal	336
04091	Terque	365
04092	Tíjola	3548
04093	Turre	3781
04094	Turrillas	248
04095	Uleila del Campo	822
04096	Urrácal	350
04097	Velefique	230
04098	Vélez-Blanco	1874
04099	Vélez-Rubio	6546
04100	Vera	16996
04101	Viator	5978
04102	Vícar	26899
04103	Zurgena	2956
04901	Tres Villas, Las	565
04902	Ejido, El	83758
04903	Mojonera, La	9191
04904	Balanegra	3105
05001	Adanero	211
05002	Adrada, La	2539
05005	Albornos	177
05007	Aldeanueva de Santa Cruz	117
05008	Aldeaseca	228
05010	Aldehuela, La	153
05012	Amavida	127
05013	Arenal, El	948
05014	Arenas de San Pedro	6344
05015	Arevalillo	69
05016	Arévalo	7960
05017	Aveinte	83
05018	Avellaneda	26
05019	Ávila	58369
05021	Barco de Ávila, El	2330
05022	Barraco, El	1893
05023	Barromán	185
05024	Becedas	191
05025	Becedillas	80
05026	Bercial de Zapardiel	197
05027	Berlanas, Las	329
05029	Bernuy-Zapardiel	97
05030	Berrocalejo de Aragona	49
05033	Blascomillán	181
05034	Blasconuño de Matacabras	14
05035	Blascosancho	96
05036	Bohodón, El	117
05037	Bohoyo	232
05038	Bonilla de la Sierra	125
05039	Brabos	43
05040	Bularros	66
05041	Burgohondo	1180
05042	Cabezas de Alambre	161
05043	Cabezas del Pozo	70
05044	Cabezas del Villar	257
05045	Cabizuela	79
05046	Canales	42
05047	Candeleda	5025
05048	Cantiveros	98
05049	Cardeñosa	435
05051	Carrera, La	167
05052	Casas del Puerto	85
05053	Casasola	73
05054	Casavieja	1434
05055	Casillas	640
05056	Castellanos de Zapardiel	94
05057	Cebreros	3152
05058	Cepeda la Mora	74
05059	Cillán	88
05060	Cisla	98
05061	Colilla, La	335
05062	Collado de Contreras	160
05063	Collado del Mirón	31
05064	Constanzana	105
05065	Crespos	493
